STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10518,2260,22,9,2013,1,12,11,33,-88
1,10519,0,23,9,2013,2,23,15,30,-88
1,10520,9997,25,9,2013,4,19,30,35,-87
1,10521,47,26,9,2013,5,14,30,33,-87
1,10522,2440,29,9,2013,1,1,25,32,-85
1,10523,0,27,9,2013,6,5,45,33,-87
1,10524,0,27,9,2013,6,17,30,33,-87
1,10525,2100,28,9,2013,7,17,32,31,-88
1,10526,0,28,9,2013,7,21,21,32,-87
1,10527,0,30,9,2013,2,10,30,32,-88
1,10528,1080,1,10,2013,3,10,29,100,1000
1,10529,0,2,10,2013,4,5,55,31,-88
1,10530,0,6,10,2013,1,23,41,34,-86
1,10531,1280,16,10,2013,4,12,31,34,-86
1,10532,2100,18,10,2013,6,19,15,31,-88
1,10533,0,1,10,2013,3,10,25,31,-88
1,10534,0,1,10,2013,3,21,0,32,-86
1,10535,0,2,10,2013,4,7,0,35,-88
1,10536,2130,2,10,2013,4,19,10,32,-86
